Crime,Precinct,Total
Grand larceny auto,26th Precinct,30
Grand larceny auto,28th Precinct,20
Grand larceny auto,30th Precinct,39
Grand larceny auto,32nd Precinct,45
Grand larceny auto,33rd Precinct,69
Grand larceny auto,34th Precinct,108
Grand larceny auto,40th Precinct,133
Grand larceny auto,41st Precinct,90
Grand larceny auto,42nd Precinct,119
Grand larceny auto,43rd Precinct,266
Grand larceny auto,44th Precinct,199
Grand larceny auto,45th Precinct,203
Grand larceny auto,46th Precinct,113
Grand larceny auto,47th Precinct,350
Grand larceny auto,48th Precinct,137
Grand larceny auto,49th Precinct,218
Grand larceny auto,50th Precinct,113
Grand larceny auto,52nd Precinct,176
Grand larceny auto,5th Precinct,20
Grand larceny auto,60th Precinct,101
Grand larceny auto,61st Precinct,142
Grand larceny auto,62nd Precinct,152
Grand larceny auto,63rd Precinct,136
Grand larceny auto,66th Precinct,133
Grand larceny auto,67th Precinct,271
Grand larceny auto,68th Precinct,135
Grand larceny auto,69th Precinct,107
Grand larceny auto,6th Precinct,39
Grand larceny auto,70th Precinct,143
Grand larceny auto,71st Precinct,132
Grand larceny auto,72nd Precinct,117
Grand larceny auto,73rd Precinct,127
Grand larceny auto,75th Precinct,314
Grand larceny auto,76th Precinct,41
Grand larceny auto,77th Precinct,110
Grand larceny auto,78th Precinct,95
Grand larceny auto,79th Precinct,88
Grand larceny auto,7th Precinct,37
Grand larceny auto,81st Precinct,83
Grand larceny auto,83rd Precinct,156
Grand larceny auto,84th Precinct,47
Grand larceny auto,88th Precinct,75
Grand larceny auto,90th Precinct,178
Grand larceny auto,94th Precinct,138
Grand larceny auto,9th Precinct,45
